Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,1,919.2000000476837,956,414,560.3704798532389,372.4176618364481,619,385,397.80875814730933,-59.62355397343926,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,2,1099.3999999761581,560.3704798532389,372.4176618364481,938.7090915285202,495.34732861516005,895,471,397.80875814730933,-49.09355462925631,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,3,849.1999999880791,938.7090915285202,495.34732861516005,594.1966011250105,296.4429495415054,625,330,397.80875814730933,-43.45505117789323,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,4,825.3000000119209,594.1966011250105,296.4429495415054,889.8261212717716,562.6289650954789,856,537,397.8087581473093,-42.2868319437756,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,5,783,889.8261212717716,562.6289650954789,655.9999999999999,240.79491924311233,671,272,397.8087581473094,-34.062219427551945,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,6,795,655.9999999999999,240.79491924311233,817.8033988749895,604.2113032590307,800,571,397.8087581473094,-37.58132992843115,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,7,864.1999999880791,817.8033988749895,604.2113032590307,735.0943073464693,215.09562092634533,728,262,397.8087581473094,-44.404416419219,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,8,882.1999999880791,735.0943073464693,215.09562092634533,735.0943073464692,612.9043790736547,733,579,397.8087581473094,-33.90437907365464,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,9,811,735.0943073464692,612.9043790736547,817.8033988749894,223.78869674096927,815,257,397.8087581473094,-33.06841600019936,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,10,856.7000000476837,817.8033988749894,223.78869674096927,656,587.2050807568878,685,539,397.8087581473094,-55.832895209947814,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,11,735.6999999880791,656,587.2050807568878,889.8261212717716,265.3710349045211,862,291,397.80875814730945,-37.09005202253404,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,12,799,889.8261212717716,265.3710349045211,594.1966011250106,531.5570504584946,632,494,397.8087581473093,-53.223972205749014,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,13,770.5999999642372,594.1966011250106,531.5570504584946,938.7090915285202,332.65267138484,891,356,397.80875814730916,-52.99094956275538,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,14,881.5,938.7090915285202,332.65267138484,560.3704798532389,455.58233816355187,598,449,397.8087581473093,-37.82185469589721,0
P1,S3,C1,Dominant,Mouse,Intermediate,400,50,15,0,15,858.3000000119209,560.3704798532389,455.58233816355187,956,414,908,413,397.80875814730933,-47.63252251440946,0
