Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Amplitude,Width,Number of Targets,Task Index,Click Number,Completion Time (ms),Source X,Source Y,Target X,Target Y,Click X,Click Y,Source-Target Distance,dx,Incorrect
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,1,543.9000000001397,1160.0,477.5,764.3704798532389,435.9176618364481,848,459,397.8087581473093,-85.58415022195645,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,2,690.0,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1068,527,397.8087581473095,-80.89393409221826,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,3,575.8999999999069,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,865,418,397.8087581473094,-86.88196571413295,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,4,684.0,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1043,557,397.8087581473093,-84.02747535350166,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,5,500.69999999995343,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,912,370,397.8087581473094,-83.72136006830915,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,6,467.30000000004657,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,997,579,397.8087581473094,-91.1302593291261,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,7,398.30000000004657,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,952,372,397.8087581473094,-94.04651366969613,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,8,607.8000000000466,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,946,591,397.8087581473094,-85.40437907365465,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,9,583.8999999999069,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,1005,367,397.8087581473094,-81.46304310576996,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,10,623.8999999999069,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,892,577,397.8087581473094,-80.34851430906153,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,11,730.1000000000931,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1053,400,397.8087581473095,-81.5415335463963,1
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,12,741.8999999999069,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,871,548,397.8087581473093,-85.59078185786696,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,13,556.0,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1054,434,397.8087581473093,-95.74799111791746,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,14,716.4000000001397,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,849,497,397.8087581473094,-87.31127437458112,0
P0,S0,C1,Dominant,Mouse,God,400,50,15,0,15,539.8000000000466,764.3704798532389,519.0823381635519,1160.0,477.5,1069,474,397.8087581473093,-90.13564285707606,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,1,712.0,1160.0,477.5,764.3704798532389,435.9176618364481,850,458,397.8087581473093,-87.46866554942537,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,2,662.8000000000466,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1050,515,397.8087581473095,-101.72115531803044,1
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,3,983.0,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,872,405,397.8087581473094,-86.44414354062401,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,4,972.2999999998136,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1042,554,397.8087581473093,-86.77801199805563,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,5,661.6000000000931,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,898,368,397.8087581473094,-73.87433254746465,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,6,773.1000000000931,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,997,591,397.8087581473094,-80.16771383741487,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,7,811.8999999999069,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,950,367,397.8087581473094,-88.73995228439158,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,8,683.0,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,949,579,397.8087581473094,-97.40437907365464,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,9,783.1000000000931,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,990,374,397.8087581473094,-91.428751673173,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,10,861.0,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,912,564,397.8087581473094,-100.35933811993137,1
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,11,971.8999999999068,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1042,390,397.8087581473095,-79.917001377864,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,12,1133.0,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,865,536,397.8087581473093,-89.16148018130892,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,13,1032.1000000000931,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1065,431,397.8087581473093,-84.72171167628866,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,14,872.8999999999069,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,846,495,397.8087581473094,-85.07613881444557,0
P0,S0,C2,Dominant,Mouse,Intermediate,400,50,15,0,15,781.8999999999069,764.3704798532389,519.0823381635519,1160.0,477.5,1078,477,397.8087581473093,-81.4985311885646,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,1,702.1999999999534,1160.0,477.5,764.3704798532389,435.9176618364481,858,456,397.8087581473093,-95.21578378583628,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,2,547.6999999999534,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1082,533,397.8087581473095,-65.72504089783644,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,3,500.0,1142.7090915285205,558.84732861516,798.1966011250105,359.9429495415054,853,401,397.8087581473094,-67.98966086871967,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,4,564.0,798.1966011250105,359.9429495415054,1093.8261212717716,626.1289650954789,1032,570,397.8087581473093,-83.50337055108783,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,5,505.9000000001397,1093.8261212717716,626.1289650954789,859.9999999999999,304.2949192431123,911,376,397.8087581473094,-87.98767678226635,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,6,412.0,859.9999999999999,304.2949192431123,1021.8033988749896,667.7113032590307,997,582,397.8087581473094,-88.3896229561983,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,7,378.39999999990687,1021.8033988749896,667.7113032590307,939.0943073464692,278.5956209263453,951,360,397.8087581473094,-82.10083077007266,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,8,419.80000000004657,939.0943073464692,278.5956209263453,939.0943073464692,676.4043790736547,966,606,397.8087581473094,-70.40437907365467,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,9,546.0999999998603,939.0943073464692,676.4043790736547,1021.8033988749894,287.28869674096927,1010,397,397.8087581473094,-109.76791267369534,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,10,797.7000000001863,1021.8033988749894,287.28869674096927,860.0,650.7050807568878,915,576,397.8087581473094,-90.61700255744756,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,11,404.29999999981374,860.0,650.7050807568878,1093.8261212717716,328.8710349045211,1052,387,397.8087581473095,-71.61209787181447,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,12,659.6000000000931,1093.8261212717716,328.8710349045211,798.1966011250106,595.0570504584946,861,544,397.8087581473093,-80.83585602852847,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,13,726.1000000000931,798.1966011250106,595.0570504584946,1142.7090915285205,396.15267138484,1063,425,397.8087581473093,-83.45376248385752,0
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,14,458.0,1142.7090915285205,396.15267138484,764.3704798532389,519.0823381635519,863,490,397.8087581473094,-102.78918456333788,1
P0,S1,C1,Dominant,Mouse,God,400,50,15,0,15,476.39999999990687,764.3704798532389,519.0823381635519,1160.0,477.5,1074,481,397.8087581473093,-85.89473262310831,0
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,1,682.3000000000466,1160.0,477.5,764.3704798532389,435.9176618364481,882,467,397.8087581473093,-120.234122370619,1
P0,S1,C2,Dominant,Mouse,God,400,50,15,0,2,691.6999999999534,764.3704798532389,435.9176618364481,1142.7090915285205,558.84732861516,1061,527,397.8087581473095,-87.55132970628435,0
