Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Mean Completion Time (ms),Mean Click Error (%),Mean Throughput (bps)
P0,S0,C1,Dominant,Mouse,God,597.326666666676,6.666666666666667,6.834888257854854
P0,S0,C2,Dominant,Mouse,Intermediate,846.373333333324,13.333333333333334,4.044561032795364
P0,S1,C1,Dominant,Mouse,God,539.8799999999969,40.0,5.236676796597578
P0,S1,C2,Dominant,Mouse,God,830.5866666666698,13.333333333333334,3.632726699245871
P0,S2,C1,Dominant,Mouse,God,552.6133333333303,13.333333333333334,6.585927157051231
P0,S2,C2,Dominant,Mouse,God,817.726666666676,26.666666666666668,3.872955279039516
P0,S3,C1,Dominant,Mouse,God,426.73333333333335,26.666666666666668,7.066452884070459
P0,S3,C2,Dominant,Mouse,God,729.7800000000124,13.333333333333334,4.549347350667888
P0,S4,C1,Dominant,Mouse,Intermediate,492.80666666667287,0.0,7.723127991859653
P0,S4,C2,Dominant,Mouse,God,759.7399999999907,33.33333333333333,3.6210076790450088
P0,S5,C1,Dominant,Mouse,God,412.19333333332713,26.666666666666668,7.6994948077432595
P1,S0,C1,Dominant,Mouse,Expert,905.7800000031788,0.0,3.9962509273705153
20012732,S0,C2,Non-Dominant,Mouse,Intermediate,1125.5399999976155,6.666666666666667,2.7850921487114526
P1,S1,C1,Dominant,Mouse,Expert,896.5666666666667,0.0,4.74301040019142
P1,S1,C2,Non-Dominant,Mouse,Expert,1348.906666668256,0.0,3.452915726436807
P1,S2,C1,Dominant,Mouse,Expert,889.6666666666666,0.0,3.913189858143679
P1,S2,C2,Non-Dominant,Mouse,Expert,1360.953333334128,0.0,2.947745437452606
20012732,S3,C1,Dominant,Mouse,Intermediate,848.6866666674614,0.0,4.065436541613955
P1,S3,C2,Non-Dominant,Mouse,Expert,1189.8799999992052,6.666666666666667,0.8635258206008432
P1,S4,C1,Dominant,Mouse,Expert,930.7400000015896,6.666666666666667,3.566586431224424
P1,S4,C2,Non-Dominant,Mouse,Expert,1311.773333330949,0.0,3.558686778964504
P1,S5,C1,Dominant,Mouse,Expert,881.1333333333333,0.0,4.150548182003985
P1,S5,C2,Non-Dominant,Mouse,Expert,1314.4666666666667,0.0,2.8428537056823955
P2,S0,C1,Dominant,Touchpad,Expert,979.1333333333332,0.0,4.021398727221867
P2,S0,C2,Non-Dominant,Mouse,Expert,1348.9333333333334,0.0,2.840009063773147
P2,S0,C2,Non-Dominant,Touchpad,Expert,1223.9133333325383,0.0,2.9922506609824637
P2,S1,C1,Dominant,Touchpad,Expert,740.6266666650772,0.0,4.664455821508228
P2,S1,C2,Non-Dominant,Touchpad,Expert,1252.0866666674617,6.666666666666667,2.278595905066904
P2,S2,C1,Dominant,Touchpad,Expert,783.4733333349228,0.0,4.219859432367491
P2,S2,C2,Non-Dominant,Touchpad,Expert,1382.4200000007947,0.0,2.784315636486765
P2,S3,C1,Dominant,Touchpad,Expert,738.9399999976158,0.0,4.618329308236155
P2,S3,C2,Non-Dominant,Touchpad,Expert,1237.639999997616,6.666666666666667,2.726889727050505
P2,S4,C1,Dominant,Touchpad,Expert,730.2066666682562,0.0,5.20107252207393
P2,S4,C2,Non-Dominant,Touchpad,Expert,1258.946666665872,0.0,2.767726419459572
P2,S5,C1,Dominant,Touchpad,Expert,724.0333333333333,13.333333333333334,5.429199744556608
P2,S5,C2,Non-Dominant,Touchpad,Expert,1145.0666666666666,6.666666666666667,3.361981333284941
P3,S0,C1,Dominant,Mouse,Intermediate,1036.906666660309,6.666666666666667,3.031593221176764
P3,S0,C2,Dominant,Mouse,Intermediate,800.1133333206177,0.0,4.2225666349373805
P3,S1,C1,Dominant,Mouse,Intermediate,884.7733333269755,0.0,3.901869154768311
